Latitude,Longitude,stage_ft,name
30.22111,-97.79333,1.99,Williamson Creek at Manchaca Road at Austin
32.73278,-99.14028,3.78,Hubbard Creek at Albany
30.24444,-97.80194,1.73,Barton Creek at Loop 360
30.37194,-97.78445,2.47,Bull Creek at Loop 360
32.93298,-99.21539,5.99,Clear Fork Brazos River at Fort Griffin
27.76639,-98.07555,7.09,San Diego Creek at Alice
30.24611,-97.68,11.99,Colorado River (TX) at Austin
31.57944,-97.1975,461.89,North Texas Lakes at Waco Lake
29.79111,-95.62334,69.35,Langham Creek at Addicks Reservoir
30.0934,-93.7497,1.25,Adams Bayou at SH 87
30.27639,-97.75,1.02,Shoal Creek at West 12th Street
27.77222,-98.03333,0.59,San Fernando Creek at Alice
31.89972,-97.2025,536.9,North Texas Lakes at Aquilla Lake
30.31493,-97.78639,492.0,Colorado River (TX) at Lake Austin
31.67184,-94.95271,11.07,Angelina River at Alto
33.6626,-98.61311,4.54,Little Wichita River at Archer City
35.47028,-101.8792,0.89,Canadian River at Amarillo
29.45023,-101.0587,1070.93,Rio Grande at Lake Amistad
31.81222,-97.2975,6.09,Brazos River at Aquilla
33.66315,-98.77895,1042.37,Little Wichita River at Lake Kickapoo
33.76427,-98.37172,924.81,Little Wichita River at Lake Arrowhead
33.33389,-100.2378,2.87,Salt Fork - Brazos River at Aspermont 13N
30.35417,-97.73889,1.02,Shoal Creek at Silverway Drive
28.5,-99.68166,1.01,Nueces River at Asherton
31.50417,-94.30417,4.17,Attoyac Bayou at Chireno
32.21056,-95.765,440.0,North Texas Lakes at Lake Athens
30.17778,-97.68833,4.15,Onion Creek at US 183
31.57917,-95.16528,4.28,Neches River at Alto
31.39611,-94.15083,2.96,Ayish Bayou at San Augustine
27.28528,-97.40083,0.95,Gulf of Mexico Tide Gauge at Baffin Bay
28.97389,-96.01222,3.47,Colorado River (TX) at Bay City
29.76972,-95.64694,70.58,Buffalo Bayou at Barker Reservoir
31.74917,-99.9475,3.87,Elm Creek (Colorado Basin WCTX) at Ballinger
30.1025,-98.51056,0.64,Blanco River at Crabapple Road
29.80833,-96.09556,93.51,Brazos River at San Felipe
29.83056,-95.68667,97.1,Bear Creek at Barker
29.76,-95.40833,4.05,Buffalo Bayou at Shepherd Drive
30.62667,-96.54389,7.88,Brazos River at Bryan
33.47417,-97.86278,920.51,North Texas Lakes at Lake Amon Carter
30.26333,-97.77194,1.66,Barton Creek at Barton Springs
30.15528,-97.93972,3.22,Bear Creek at Route 1826 at Driftwood
30.51278,-97.68639,3.47,Brushy Creek at I-35 Round Rock
30.16361,-97.90694,0.92,Bear Creek at Spillar Ranch Road
29.47191,-95.80301,2.53,Big Creek at Needville
31.13806,-99.38528,1736.32,West Central Texas Lakes at Brady Creek Reservoir
30.26306,-97.7125,0.47,Boggy Creek at Webberville Road
29.72361,-99.06973,3.2,Medina River at Bandera
30.08667,-97.84861,1.87,Onion Creek at Buda
32.25333,-96.64389,420.65,North Texas Lakes at Bardwell Lake
30.13306,-94.09639,2.0,Neches River at Beaumont
32.32722,-94.35333,7.34,Sabine River at Beckville
29.88083,-96.205,3.01,Mill Creek at Bellville
33.64426,-99.80093,8.01,South Wichita River at Benjamin
29.80833,-98.23028,1.73,Bear Creek at FM 2722 nr Sattler
30.00058,-98.20036,3.58,Blanco River at Fischer Store Rd near Fischer
32.64833,-99.00417,6.5,Big Sandy Creek (Brazos River Basin) at Breckenridge
32.73861,-94.2325,5.0,Big Cypress Creek at Karnack
30.28611,-97.70861,0.92,Boggy Creek at Manor Road
34.62778,-100.9403,4.5,Prairie Dog Town Fork of the Red River at Brice 6SW
30.17917,-94.18889,3.58,Pine Island Bayou at B.I. Pump Plant
34.11009,-98.53172,2.47,Red River at Burkburnett
29.95,-101.1303,2.55,Devils River at Bakers Crossing near Juno
30.51222,-97.63667,3.03,Brushy Creek at Kenney Fort Blvd nr Round Rock
31.19611,-93.57195,168.09,Sabine River at Toledo Bend Reservoir
30.51944,-97.33833,7.92,Brushy Creek at FM 619 near Taylor
33.64528,-96.16389,563.15,North Texas Lakes at Lake Bonham
31.07,-97.44111,3.6,Leon River at Belton
31.71528,-100.0261,4.12,Colorado River (TX) at Ballinger
32.04056,-100.2681,1995.6,West Central Texas Lakes at Oak Creek Reservoir
31.10611,-97.47444,593.31,North Texas Lakes at Belton Lake
32.695,-97.44695,1.03,Marys Creek at Benbrook
32.65055,-97.44833,689.04,North Texas Lakes at Benbrook Lake
29.31333,-95.89389,3.08,San Bernard River at Boling
29.18333,-102.975,4.18,Rio Grande at Boquillas Crossing
33.08528,-97.55833,7.27,West Fork Trinity River at Boyd
33.22278,-97.83167,835.67,North Texas Lakes at Lake Bridgeport
33.62222,-100.2086,4.05,South Wichita River at Guthrie 6E
31.13806,-99.33472,4.0,Brady Creek at Brady
30.0928,-98.42318,12.49,Blanco River at Blanco
29.52028,-97.00166,1.25,Lavaca River at Breslau
33.23167,-97.69444,1.37,Big Sandy Creek (Trinity River Basin) at Bridgeport
30.10444,-97.31917,3.14,Colorado River (TX) at Bastrop
31.06389,-93.51945,15.03,Sabine River at Burkeville
31.64361,-96.57861,447.84,North Texas Lakes at Lake Mexia
29.87944,-97.91055,7.28,Blanco River at San Marcos
32.60389,-95.09139,4.07,Big Sandy Creek at Big Sandy
31.00389,-99.26861,2.2,San Saba River at Brady
29.63056,-98.56528,0.01,Salado Creek at Wilderness Road near San Antonio
30.46917,-97.46333,5.11,Brushy Creek at FM 973 nr Coupland
30.31389,-101.7417,4.56,Pecos River at Pandale
29.48108,-100.2392,1.06,West Nueces River at Bracketville
30.75139,-98.41805,1015.66,Colorado River (TX) at Lake Buchanan
32.15055,-97.4025,1.45,Nolan River at Blum
33.29445,-96.48278,11.63,Sister Grove Creek at Blue Ridge
31.7364,-98.97549,4.91,Pecan Bayou at Brownwood
30.74694,-93.60833,15.26,Sabine River at Bon Wier
30.525,-97.74973,0.69,Brushy Creek at Cedar Park
27.88278,-97.625,4.56,Nueces River at Calallen
32.96583,-96.94417,3.42,Elm Fork Trinity River at Carrollton
27.70639,-99.75,6.38,Rio Grande at Columbia Bridge
29.70611,-96.53667,9.85,Colorado River (TX) at Columbus
27.9375,-97.77556,6.65,Nueces River at Bluntzer
29.97333,-95.59834,102.84,Cypress Creek at Cypress
32.28139,-100.8583,2075.19,Champion Creek at Champion Creek Reservoir
32.43778,-98.98528,1520.59,North Texas Lakes at Lake Cisco
28.73083,-97.13834,4.03,Coleto Creek at Highway 59
32.3925,-100.8783,3.42,Colorado River (TX) at Colorado City
30.175,-104.6861,8.56,Rio Grande at Candelaria Crossing
35.935,-100.3703,0.94,Canadian River at Canadian
30.24444,-95.45695,93.66,West Fork San Jacinto River at Conroe
34.56917,-100.1936,7.95,Prairie Dog Town Fork of the Red River at Childress 10N
28.48361,-98.24556,203.63,Frio River at Choke Canyon Dam
31.18694,-100.5017,2.14,South Concho River at Christoval
34.05315,-98.29671,4.91,Wichita River at Charlie
29.775,-98.70944,3.22,Cibolo Creek at Boerne
28.72417,-97.20194,97.7,Coleto Creek at Coleto Creek Reservoir
30.1321,-93.8638,1.89,Cole Creek at I-10
31.5925,-100.6367,2.58,North Concho River at Carlsbad
30.33639,-95.10389,4.65,East Fork San Jacinto River at Cleveland
32.34472,-100.9194,2065.45,Morgan Creek (TX) at Lake Colorado City
32.24361,-101.3114,2330.95,Moss Creek at Moss Creek Lake
29.67639,-101.0,2.28,Devils River at Pafford Crossing near Comstock
30.835,-96.94639,1.05,Little River at Cameron
29.48833,-99.70444,3.35,Frio River at Concan
32.63861,-96.485,1.39,East Fork Trinity River at Crandall
29.16,-96.54611,5.41,Sandy Creek at Cordele
29.96524,-98.89716,3.25,Guadalupe River at Comfort
33.35639,-95.59472,2.18,South Sulphur River at Cooper
28.42611,-99.23972,3.79,Nueces River at Cotulla
30.0445,-93.8214,1.01,Cow Bayou at SH 87
33.47472,-95.5875,0.97,North Sulphur River at Cooper
31.55556,-97.35611,0.88,Hog Creek at Crawford
31.33833,-95.65611,8.21,Trinity River at Crockett
29.425,-101.0403,1.41,Rio Grande at Amistad Dam
31.40685,-95.6019,259.79,Little Elkhart Creek at Houston County Lake
29.6605,-96.2436,156.23,San Bernard River at Chesterville
29.13778,-103.5244,2.81,Rio Grande at Castolon
29.74833,-98.40778,7.42,Cibolo Creek at Smithson Valley Rd nr Bulverde
33.4989,-95.0514,44.54,Cuthand Creek at Cuthand
29.87667,-100.8967,0.84,Dry Devils River at Comstock
31.78583,-97.56778,1.62,North Bosque River at Clifton
29.09028,-97.32944,7.6,Guadalupe River at Cuero
31.86,-94.82306,7.28,East Fork Angelina River at Cushing
31.97333,-99.12917,3.13,Pecan Bayou at Cross Cutt
33.45787,-101.084,2352.27,Salt Fork - Brazos River at White River Lake
32.77472,-96.82167,12.04,Trinity River at Dallas
31.9575,-96.68916,423.91,North Texas Lakes at Navarro Mills Lake
28.73639,-99.14445,-0.76,Frio River at Derby
33.11889,-97.29028,2.36,Denton Creek at Justin
33.8151,-98.93368,1050.76,Wichita River at Lake Diversion near Dundee
32.57361,-100.9075,2.75,Deep Creek at Dunn
33.68389,-94.69417,8.77,Red River at Dekalb - Pecan Point
30.40722,-96.81722,1.36,East Yegua Creek at Dime Box
31.13296,-94.80993,2.71,Neches River at Diboll
32.17361,-98.53278,1.36,Leon River at DeLeon
29.33083,-100.9289,1.75,Rio Grande at Del Rio
29.47389,-97.31639,6.55,Peach Creek at Dilworth
30.33917,-96.90444,0.77,Middle Yegua Creek at Dime Box
32.61555,-97.92555,2.25,Brazos River at Dennis
29.88833,-100.9897,2.72,Dolan Creek at Devils River near Comstock
30.08278,-98.0075,2.36,Onion Creek at Driftwood
32.11389,-98.60528,2.0,Sabana River at DeLeon
33.81398,-98.93285,7.3,South Side Canal at Dundee
33.81816,-96.57249,615.38,Red River at Lake Texoma near Denison
33.3094,-94.6981,5.07,Sulphur River at Dalby Springs at Interstate 30
33.81899,-96.56332,8.5,Red River at Denison Dam near Denison
28.66194,-96.96528,10.59,Guadalupe River at Bloomington
32.88917,-96.75639,69.48,White Rock Creek at Dallas
30.30361,-93.74361,21.48,Sabine River at Deweyville
29.82361,-102.1667,4.88,Rio Grande at Dryden
32.8775,-97.47472,647.94,North Texas Lakes at Eagle Mountain Lake
31.17,-96.2975,3.66,Navasota River at Easterly
29.53306,-96.05611,6.67,San Bernard River at East Bernard
28.95972,-96.68611,5.03,Lavaca River at Edna
30.23194,-97.43278,5.0,Wilbarger Creek at Elgin
30.2656,-97.3281,0.58,Big Sandy Creek (TX) at Elgin
29.22194,-98.35555,9.65,San Antonio River at Elmendorf
28.35,-100.32,5.87,Rio Grande at El Indio
33.90593,-98.90507,9.58,Beaver Creek (TX) at Electra
29.48556,-104.2161,0.0,Rio Grande at Redford
28.71389,-100.5069,2.8,Rio Grande at Eagle Pass
