flow_cfs,flowurl,governing_location,graphurl,lastupdate,lastupdate_age,name,org,stage_ft,stageurl,stationid,stationurl,status,discharge,height,Latitude,Longitude,ObjectId,x,y
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AAIT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/aait2_hg.png,9/17/2021 11:30:00 PM,0,Williamson Creek at Manchaca Road at Austin,NOAA,1.99,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AAIT2&output=tabular,NWSAAIT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=aait2,No Flooding,0,0,30.22111,-97.79333,1,-97.7933329996673,30.2211110002836
0,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABAT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/abat2_hg.png,9/17/2021 11:00:00 PM,1,Hubbard Creek at Albany,NOAA,3.78,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABAT2&output=tabular,NWSABAT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abat2,No Flooding,1.05,1.05,32.73278,-99.14028,2,-99.1402780003271,32.7327780003457
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABTT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/abtt2_hg.png,9/17/2021 11:00:00 PM,1,Barton Creek at Loop 360,NOAA,1.73,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABTT2&output=tabular,NWSABTT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=abtt2,No Flooding,0,0,30.24444,-97.80194,3,-97.8019440002492,30.2444440003248
0,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABUT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/abut2_hg.png,9/17/2021 11:00:00 PM,1,Bull Creek at Loop 360,NOAA,2.47,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABUT2&output=tabular,NWSABUT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=abut2,No Flooding,0.61,0.61,30.37194,-97.78445,4,-97.7844440001493,30.3719440001474
20,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABYT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/abyt2_hg.png,9/17/2021 11:00:00 PM,1,Clear Fork Brazos River at Fort Griffin,NOAA,5.99,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ABYT2&output=tabular,NWSABYT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abyt2,No Flooding,7.27,7.27,32.93298,-99.21539,5,-99.2153889996716,32.9329780003202
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ACET2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/acet2_hg.png,9/17/2021 11:00:00 PM,1,San Diego Creek at Alice,NOAA,7.09,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ACET2&output=tabular,NWSACET2,https://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=acet2,No Flooding,7.09,7.09,27.76639,-98.07555,6,-98.0755560001151,27.7663889998909
490,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ACRT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/acrt2_hg.png,9/17/2021 11:00:00 PM,1,Colorado River (TX) at Austin,NOAA,11.99,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ACRT2&output=tabular,NWSACRT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=acrt2,No Flooding,378,378,30.24611,-97.68,7,-97.6800000001171,30.2461110003727
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ACTT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/actt2_hg.png,9/17/2021 11:15:00 PM,1,North Texas Lakes at Waco Lake,NOAA,461.89,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ACTT2&output=tabular,NWSACTT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=actt2,,,,31.57944,-97.1975,8,-97.1975000001868,31.5794440003493
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ADDT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/addt2_hg.png,9/17/2021 11:30:00 PM,0,Langham Creek at Addicks Reservoir,NOAA,69.35,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ADDT2&output=tabular,NWSADDT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=addt2,No Flooding,,,29.79111,-95.62334,9,-95.6233329998596,29.791110999725
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ADMT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/admt2_hg.png,9/17/2021 10:55:00 PM,1,Adams Bayou at SH 87,NOAA,1.25,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ADMT2&output=tabular,NWSADMT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=admt2,No Flooding,,,30.0934,-93.7497,10,-93.7496999998009,30.0934000003658
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AHOT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/ahot2_hg.png,9/17/2021 11:20:00 PM,0,Shoal Creek at West 12th Street,NOAA,1.02,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AHOT2&output=tabular,NWSAHOT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=ahot2,No Flooding,0,0,30.27639,-97.75,11,-97.7499999996183,30.2763890001944
0,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AICT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/aict2_hg.png,9/17/2021 11:15:00 PM,1,San Fernando Creek at Alice,NOAA,0.59,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AICT2&output=tabular,NWSAICT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=aict2,No Flooding,0.05,0.05,27.77222,-98.03333,12,-98.0333329997537,27.77222200033
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALAT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/alat2_hg.png,9/17/2021 10:30:00 PM,1,North Texas Lakes at Aquilla Lake,NOAA,536.9,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALAT2&output=tabular,NWSALAT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=alat2,,,,31.89972,-97.2025,13,-97.202499999702,31.8997219999237
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALKT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/alkt2_hg.png,9/17/2021 11:00:00 PM,1,Colorado River (TX) at Lake Austin,NOAA,492,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALKT2&output=tabular,NWSALKT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=alkt2,,,,30.31493,-97.78639,14,-97.7863959997359,30.3149279997707
90,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALOT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/alot2_hg.png,9/17/2021 11:00:00 PM,1,Angelina River at Alto,NOAA,11.07,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALOT2&output=tabular,NWSALOT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=alot2,No Flooding,241,241,31.67184,-94.95271,15,-94.9527099996283,31.6718399996743
0,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALWT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/alwt2_hg.png,9/17/2021 10:30:00 PM,1,Little Wichita River at Archer City,NOAA,4.54,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ALWT2&output=tabular,NWSALWT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=alwt2,,4.76,4.76,33.6626,-98.61311,16,-98.6131120001792,33.6626020001832
10,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AMAT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/amat2_hg.png,9/17/2021 11:15:00 PM,1,Canadian River at Amarillo,NOAA,0.89,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AMAT2&output=tabular,NWSAMAT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ama&gage=amat2,No Flooding,1.14,1.14,35.47028,-101.8792,17,-101.879167000154,35.4702779996578
70900,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AMIT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/amit2_hg.png,9/17/2021 11:15:00 PM,1,Rio Grande at Lake Amistad,NOAA,1070.93,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AMIT2&output=tabular,NWSAMIT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=amit2,No Flooding,,,29.45023,-101.0587,18,-101.058710999599,29.450224999815
60,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AQLT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/aqlt2_hg.png,9/17/2021 11:00:00 PM,1,Brazos River at Aquilla,NOAA,6.09,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=AQLT2&output=tabular,NWSAQLT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=aqlt2,No Flooding,2890,2890,31.81222,-97.2975,19,-97.2975000003725,31.8122219997495
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ARHT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/arht2_hg.png,9/17/2021 11:00:00 PM,1,Little Wichita River at Lake Kickapoo,NOAA,1042.37,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ARHT2&output=tabular,NWSARHT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=arht2,,,,33.66315,-98.77895,20,-98.7789500000518,33.6631560003107
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ARRT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/arrt2_hg.png,9/17/2021 11:00:00 PM,1,Little Wichita River at Lake Arrowhead,NOAA,924.81,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ARRT2&output=tabular,NWSARRT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=arrt2,,,,33.76427,-98.37172,21,-98.3717169999999,33.7642680002611
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ARTT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/artt2_hg.png,9/17/2021 10:30:00 PM,1,Salt Fork - Brazos River at Aspermont 13N,NOAA,2.87,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ARTT2&output=tabular,NWSARTT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=lub&gage=artt2,No Flooding,85.2,85.2,33.33389,-100.2378,22,-100.237777999917,33.333888999683
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ASHT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/asht2_hg.png,9/17/2021 11:15:00 PM,1,Shoal Creek at Silverway Drive,NOAA,1.02,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ASHT2&output=tabular,NWSASHT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=asht2,,1.42,1.42,30.35417,-97.73889,23,-97.7388890001771,30.3541670003579
,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ASRT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/asrt2_hg.png,9/17/2021 11:30:00 PM,0,Nueces River at Asherton,NOAA,1.01,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ASRT2&output=tabular,NWSASRT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=asrt2,No Flooding,0.1,0.1,28.5,-99.68166,24,-99.6816670003174,28.4999999998544
70,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ATBT2&output=tabular,"TX, USA",https://water.weather.gov/resources/hydrographs/atbt2_hg.png,9/17/2021 10:30:00 PM,1,Attoyac Bayou at Chireno,NOAA,4.17,https://water.weather.gov/ahps2/hydrograph_to_xml.php?gage=ATBT2&output=tabular,NWSATBT2,https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=atbt2,No Flooding,7.59,7.59,31.50417,-94.30417,25,-94.3041669997859,31.5041670002076
